pickup_borough,pickup_zone,trip_count
Queens,JFK Airport,145240
Manhattan,Midtown Center,143471
Manhattan,Upper East Side South,142708
Manhattan,Upper East Side North,136465
Manhattan,Midtown East,106717
Manhattan,Times Sq/Theatre District,106324
Manhattan,Penn Station/Madison Sq West,104523
Manhattan,Lincoln Square East,104080
Queens,LaGuardia Airport,89533
Manhattan,Upper West Side South,88474
Manhattan,Midtown North,85692
Manhattan,Murray Hill,83064
Manhattan,East Chelsea,77686
Manhattan,Clinton East,76476
Manhattan,Union Sq,76157
Manhattan,Lenox Hill West,73946
Manhattan,West Village,66227
Manhattan,Lenox Hill East,66060
Manhattan,East Village,65935
Manhattan,Midtown South,64912
Manhattan,Upper West Side North,64234
Manhattan,Yorkville West,59797
Manhattan,Gramercy,59367
Manhattan,Sutton Place/Turtle Bay North,55220
Manhattan,West Chelsea/Hudson Yards,50559
Manhattan,Central Park,48279
Manhattan,Garment District,48093
Manhattan,Flatiron,46497
Manhattan,Yorkville East,42801
Manhattan,Greenwich Village North,40530
Manhattan,Greenwich Village South,40344
Manhattan,TriBeCa/Civic Center,37050
Manhattan,Lincoln Square West,35562
Manhattan,UN/Turtle Bay South,33595
Manhattan,Kips Bay,32984
Manhattan,Lower East Side,27964
Manhattan,Little Italy/NoLiTa,25618
Manhattan,Manhattan Valley,24381
Manhattan,Meatpacking/West Village West,23722
Manhattan,SoHo,20197
Manhattan,East Harlem South,18255
Manhattan,Clinton West,16262
Manhattan,Battery Park City,15877
Manhattan,Morningside Heights,13806
Manhattan,Hudson Sq,13708
Manhattan,World Trade Center,12893
Queens,East Elmhurst,12285
Manhattan,Financial District North,12102
Unknown,N/A,10360
Manhattan,Bloomingdale,7849
Manhattan,Financial District South,7008
Manhattan,Central Harlem,6832
Manhattan,East Harlem North,6144
Manhattan,Seaport,4481
Manhattan,Chinatown,3824
Manhattan,Two Bridges/Seward Park,3737
Manhattan,Stuy Town/Peter Cooper Village,3704
Manhattan,Alphabet City,3568
Manhattan,Central Harlem North,3152
Queens,Long Island City/Hunters Point,2764
Queens,Sunnyside,2598
Manhattan,Hamilton Heights,2198
Queens,Queensbridge/Ravenswood,2184
Manhattan,Manhattanville,1960
Manhattan,Washington Heights South,1893
Queens,Astoria,1811
N/A,Outside of NYC,1658
Queens,Long Island City/Queens Plaza,1492
Brooklyn,Downtown Brooklyn/MetroTech,1393
Brooklyn,Brooklyn Heights,1257
Brooklyn,Fort Greene,1134
Brooklyn,Williamsburg (North Side),1110
Brooklyn,Boerum Hill,1051
Brooklyn,Crown Heights North,1046
Queens,Baisley Park,999
Brooklyn,Park Slope,983
Brooklyn,East New York,938
Queens,Jackson Heights,913
Brooklyn,Williamsburg (South Side),912
Manhattan,Battery Park,875
Queens,Woodside,813
Queens,Jamaica,755
Queens,South Ozone Park,735
Brooklyn,Prospect-Lefferts Gardens,720
Brooklyn,DUMBO/Vinegar Hill,705
Queens,Steinway,679
Brooklyn,East Williamsburg,676
Brooklyn,Canarsie,673
